duration,x^0     ,x^1     ,x^2     ,x^3     ,x^4     ,x^5     ,x^6     ,x^7     ,y^0     ,y^1     ,y^2     ,y^3     ,y^4     ,y^5     ,y^6     ,y^7     ,z^0     ,z^1     ,z^2     ,z^3     ,z^4     ,z^5     ,z^6     ,z^7     ,yaw^0   ,yaw^1   ,yaw^2   ,yaw^3   ,yaw^4   ,yaw^5   ,yaw^6   ,yaw^7   
0.800000,0.493525,-0.032304,-0.040031,0.000873,0.000546,-0.000014,-0.000000,0.000000,0.080206,0.198776,-0.006506,-0.005374,0.000089,0.000042,0.000000,-0.000000,0.820513,0.051282,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.442728,-0.093588,-0.035911,0.002530,0.000490,-0.000027,-0.000000,0.000000,0.232362,0.178317,-0.018848,-0.004821,0.000257,0.000035,0.000000,-0.000000,0.861538,0.051282,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.346362,-0.145239,-0.028094,0.003927,0.000383,-0.000036,-0.000000,0.000000,0.360601,0.139504,-0.029249,-0.003772,0.000398,0.000026,0.000000,-0.000000,0.902564,0.051282,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.214346,-0.181941,-0.017386,0.004919,0.000237,-0.000043,-0.000000,0.000000,0.451725,0.086331,-0.036641,-0.002333,0.000501,0.000011,0.000000,-0.000000,0.943590,0.051282,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.060268,-0.199916,-0.004888,0.005405,0.000066,-0.000044,-0.000000,0.000000,0.496354,0.024275,-0.040259,-0.000658,0.000546,0.000001,-0.000000,0.000000,0.984615,0.051282,0.000000,-0.000001,-0.000001,0.000001,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.100013,-0.197314,0.008112,0.005335,-0.000110,-0.000042,-0.000000,0.000000,0.489895,-0.040284,-0.039739,0.001094,0.000550,-0.000022,-0.000000,0.000000,1.025641,0.051281,-0.000001,0.000001,0.000002,-0.000002,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.250000,-0.174403,0.020278,0.004714,-0.000278,-0.000033,-0.000000,0.000000,0.433013,-0.100686,-0.035117,0.002711,0.000461,-0.000013,-0.000000,0.000000,1.066667,0.051283,0.000002,-0.000003,-0.000005,0.000004,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.374255,-0.133543,0.030356,0.003612,-0.000411,-0.000026,-0.000000,0.000000,0.331561,-0.150751,-0.026908,0.004102,0.000409,-0.000073,-0.000000,-0.000000,1.107692,0.051279,-0.000004,0.000007,0.000011,-0.000009,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.459990,-0.078934,0.037313,0.002130,-0.000515,-0.000006,0.000000,-0.000000,0.195983,-0.185239,-0.015864,0.004946,0.000118,0.000039,0.000000,-0.000000,1.148718,0.051290,0.000008,-0.000016,-0.000025,0.000021,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.498379,-0.016209,0.040420,0.000447,-0.000538,-0.000008,0.000000,-0.000000,0.040233,-0.200802,-0.003340,0.005573,0.000273,-0.000234,0.000000,-0.000000,1.189744,0.051264,-0.000020,0.000037,0.000058,-0.000048,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.485471,0.048204,0.039388,-0.001323,-0.000569,0.000044,0.000000,-0.000000,-0.119658,-0.195367,0.009884,0.004948,-0.000663,0.000400,0.000000,-0.000000,1.230769,0.051324,0.000045,-0.000086,-0.000135,0.000112,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.422595,0.107610,0.034253,-0.002863,-0.000394,-0.000032,0.000000,-0.000000,-0.267233,-0.170591,0.021262,0.005387,0.000938,-0.001058,0.000001,-0.000000,1.271795,0.051184,-0.000106,0.000200,0.000314,-0.000261,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.316223,0.156046,0.025707,-0.004326,-0.000521,0.000180,0.000001,-0.000000,-0.387302,-0.126475,0.032377,0.001619,-0.003291,0.002352,0.000006,-0.000002,1.312821,0.051509,0.000245,-0.000465,-0.000729,0.000605,0.000001,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.177302,0.188174,0.014248,-0.004838,0.000203,-0.000292,0.000006,-0.000003,-0.467508,-0.073479,0.035687,0.006165,0.006151,-0.005583,0.000057,-0.000024,1.353846,0.050755,-0.000569,0.001079,0.001699,-0.001421,0.000015,-0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,-0.020133,0.201507,0.001943,-0.006029,-0.000926,0.000756,0.000063,-0.000026,-0.499594,-0.003309,0.045709,-0.009634,-0.015835,0.012353,0.000565,-0.000234,1.394872,0.052505,0.001322,-0.002511,-0.003895,0.003146,0.000145,-0.000060,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.139109,0.192768,-0.012004,-0.003881,0.002479,-0.002275,0.000623,-0.000258,-0.480259,0.044881,0.026894,0.021192,0.036991,-0.034588,0.005597,-0.002314,1.435897,0.048441,-0.003074,0.005787,0.009564,-0.008825,0.001433,-0.000592,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.284032,0.167280,-0.021390,-0.007818,-0.002857,-0.001085,0.006172,-0.002551,-0.411492,0.140281,0.061179,-0.057654,-0.067570,0.022019,0.055410,-0.022906,1.476923,0.057878,0.007085,-0.013906,-0.017085,0.005548,0.014186,-0.005864,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.399721,0.117426,-0.036315,0.002719,0.030061,-0.062795,0.061094,-0.025256,-0.300371,0.101090,-0.041110,0.106053,0.354996,-0.636179,0.548498,-0.226749,1.517949,0.036016,-0.016687,0.028120,0.090743,-0.162690,0.140425,-0.058052,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.800000,0.474268,0.071275,-0.034297,-0.039443,0.147689,-0.475288,0.604771,-0.250012,-0.158334,0.325378,0.129014,-0.463558,1.121389,-4.147713,5.429567,-2.244580,1.558974,0.085521,0.029583,-0.116995,0.287684,-1.062443,1.390063,-0.574651,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
